Date,MeanMaxTemp,MeanMinTemp,MeanRH,MeanWSpeed,MeanWdir,Prec,Pressure
2018-01-01,24.5,18.85,71.0,1.1104166666666666,345.0,0.0,1009.1965277777778
2018-01-02,25.0,18.25,88.0,1.349652777777778,49.0,6.2,1010.8131944444443
2018-01-03,26.0,18.5,73.0,1.6864583333333332,100.0,0.0,1009.9118055555557
2018-01-04,24.5,20.450000000000003,91.0,2.188194444444444,52.0,0.4,1004.6888888888889
2018-01-05,22.0,18.950000000000003,91.0,5.219791666666667,16.0,43.2,986.3645833333333
2018-01-06,22.5,18.55,87.0,2.024305555555556,246.0,14.2,1003.21875
2018-01-07,24.15,18.35,72.0,1.4787769784172662,248.0,0.0,1011.0100719424461
2018-01-08,24.700000000000003,16.799999999999997,67.0,1.8315972222222223,229.0,0.0,1015.2958333333332
2018-01-09,26.0,15.8,78.0,0.8208333333333333,308.0,0.0,1018.1423611111111
2018-01-10,28.15,17.6,74.0,0.828125,267.0,0.0,1016.6319444444443
2018-01-11,27.3,18.35,77.0,1.1267361111111112,268.0,0.0,1016.0479166666668
2018-01-12,26.450000000000003,18.700000000000003,85.0,0.8868055555555556,302.0,0.0,1014.8145833333333
2018-01-13,27.8,20.9,78.0,1.967361111111111,57.0,0.0,1015.8243055555556
2018-01-14,26.6,20.4,84.0,2.0430555555555556,38.0,0.0,1014.6805555555557
2018-01-15,25.8,20.75,77.0,2.306597222222222,63.0,0.4,1015.6166666666668
2018-01-16,25.55,20.25,75.0,2.9399305555555557,51.0,0.0,1015.4763888888888
2018-01-17,24.75,19.85,73.0,3.8319444444444444,44.0,0.0,1014.8625
2018-01-18,23.25,19.45,95.0,3.490972222222222,34.0,11.2,1012.3270833333332
2018-01-19,23.1,19.5,92.0,2.661111111111111,20.0,21.6,1013.1777777777777
2018-01-20,26.950000000000003,20.75,81.0,1.9423611111111112,39.0,0.2,1016.8888888888889
2018-01-21,26.45,21.0,87.0,1.5899305555555556,40.0,0.0,1017.00625
2018-01-22,25.950000000000003,19.4,95.0,1.6572916666666666,2.0,11.4,1014.6097222222222
2018-01-23,26.1,20.15,90.0,1.0520833333333333,59.0,4.4,1013.7729166666668
2018-01-24,27.85,19.549999999999997,84.0,1.2371527777777778,197.0,8.0,1014.49375
2018-01-25,27.8,19.75,86.0,1.1243055555555557,224.0,0.0,1015.4041666666667
2018-01-26,26.95,21.549999999999997,83.0,0.8069444444444445,281.0,0.0,1014.3604166666668
2018-01-27,27.9,19.950000000000003,83.0,0.7781250000000001,125.0,0.0,1015.3201388888888
2018-01-28,28.15,19.9,83.0,1.087847222222222,143.0,1.2,1015.0458333333332
2018-01-29,28.55,20.9,77.0,1.1736111111111112,117.0,0.0,1017.9277777777777
2018-01-30,27.65,20.4,78.0,1.717361111111111,44.0,0.0,1018.2097222222222
2018-01-31,27.0,20.85,71.0,3.0118055555555556,51.0,0.0,1014.0
2018-02-01,25.200000000000003,20.85,85.0,4.243402777777778,26.0,0.4,1000.25
2018-02-02,24.05,17.6,78.0,1.557638888888889,240.0,31.8,998.6
2018-02-03,22.7,15.4,89.0,1.2559027777777778,6.0,0.4,1003.0
2018-02-04,22.6,15.55,88.0,1.2590909090909093,150.0,23.2,1013.8
2018-02-05,24.2,17.15,90.0,1.0017361111111112,139.0,23.0,1008.1678082191781
2018-02-06,25.65,15.2,93.0,0.773263888888889,272.0,7.6,1008.7798611111111
2018-02-07,24.75,16.8,70.0,1.6906249999999998,164.0,0.0,1014.9909722222222
2018-02-08,23.75,16.0,71.0,2.0305555555555554,137.0,0.6,1018.2472222222223
2018-02-09,22.35,15.65,96.0,2.2118055555555554,167.0,11.2,1011.5611111111111
2018-02-10,22.0,18.0,98.0,1.1503472222222224,110.0,8.2,1007.2666666666667
2018-02-11,22.95,21.4,97.0,2.3850694444444445,50.0,17.6,1005.2
2018-02-12,24.799999999999997,20.65,98.0,1.2818181818181817,42.0,33.8,1008.4450704225352
2018-02-13,25.75,22.3,98.0,1.6225694444444443,28.0,15.2,1010.8769230769232
2018-02-14,25.0,21.25,91.0,1.3295138888888889,30.0,12.0,1011.0833333333333
2018-02-15,27.1,19.5,79.0,1.6122377622377622,192.0,8.6,1012.8499999999999
2018-02-16,27.25,16.85,97.0,0.3635416666666666,148.0,0.0,1014.6
2018-02-17,27.85,19.8,97.0,0.5236111111111112,97.0,0.0,1013.9785714285714
2018-02-18,26.55,20.45,98.0,0.45312499999999994,183.0,0.0,1015.6363636363636
2018-02-19,27.35,22.1,92.0,0.6454861111111111,342.0,0.0,1012.4580459770116
2018-02-20,27.55,21.8,83.0,3.0552083333333333,22.0,1.2,1003.9208333333332
2018-02-21,25.75,18.549999999999997,80.0,1.2833333333333332,245.0,4.8,1005.2513888888889
2018-02-22,24.75,16.75,78.0,1.4402777777777778,316.0,2.2,1006.0631944444443
2018-02-23,24.3,15.600000000000001,94.0,1.1017361111111112,213.0,0.8,1009.9423611111112
2018-02-24,25.1,15.399999999999999,80.0,0.5517361111111112,280.0,0.0,1014.875
2018-02-25,26.0,14.75,96.0,0.4909722222222222,309.0,0.0,1014.6152777777777
2018-02-26,26.950000000000003,16.45,89.0,0.871875,319.0,0.0,1011.2916666666667
2018-02-27,24.4,19.25,86.0,0.42673611111111115,341.0,0.0,1015.6888888888889
2018-02-28,24.55,20.05,77.0,3.032638888888889,60.0,0.0,1015.4930555555557
2018-03-01,24.0,19.4,80.0,2.80625,69.0,0.2,1010.99375
2018-03-02,25.15,19.5,93.0,2.692708333333333,68.0,1.2,1009.6402777777778
2018-03-03,25.65,20.1,71.0,2.5159722222222225,67.0,0.4,1009.80625
2018-03-04,26.450000000000003,20.5,77.0,2.1802083333333333,79.0,0.0,1009.2611111111112
2018-03-05,27.7,17.9,91.0,0.8062499999999999,152.0,0.0,1009.1916666666667
2018-03-06,27.9,17.95,97.0,0.33472222222222225,165.0,0.0,1008.1926356589147
2018-03-07,28.0,18.95,92.0,1.4697916666666668,329.0,0.0,1000.1097902097902
2018-03-08,24.3,16.55,88.0,1.7249999999999999,135.0,4.2,999.1949367088607
2018-03-09,24.4,16.75,85.0,1.1763888888888887,151.0,5.0,1005.6
2018-03-10,24.950000000000003,14.65,67.0,1.3347222222222224,165.0,0.0,1015.3
2018-03-11,23.7,15.700000000000001,72.0,1.2010416666666666,165.0,0.0,1016.3375
2018-03-12,21.3,16.0,74.0,2.564236111111111,176.0,0.0,1006.5571428571427
2018-03-13,21.65,17.2,77.0,1.9697916666666666,240.0,13.2,1005.6552631578949
2018-03-14,23.7,15.7,82.0,0.8708333333333333,253.0,3.0,1013.8611111111111
2018-03-15,22.9,13.65,98.0,0.42361111111111116,166.0,0.0,1016.7375
2018-03-16,23.299999999999997,14.85,96.0,0.6243055555555557,344.0,0.0,1011.6159722222222
2018-03-17,23.5,15.55,98.0,0.5753472222222222,142.0,0.0,1014.562937062937
2018-03-18,23.1,16.45,70.0,1.8288194444444446,137.0,0.0,1021.8000000000001
2018-03-19,23.549999999999997,15.95,81.0,1.4774305555555554,152.0,0.0,1022.8
2018-03-20,24.25,15.65,97.0,1.1621527777777776,149.0,1.0,1022.8847457627118
2018-03-21,24.8,15.450000000000001,86.0,1.073263888888889,154.0,0.8,1020.0486111111111
2018-03-22,24.65,15.5,98.0,0.6958333333333335,169.0,0.8,1017.212987012987
2018-03-23,23.5,17.15,74.0,1.6729166666666666,77.0,0.4,1016.8625
2018-03-24,23.9,17.4,83.0,1.803125,51.0,24.0,1018.275
2018-03-25,23.7,16.85,97.0,0.5128472222222222,264.0,10.4,1018.5222222222222
2018-03-26,24.45,15.450000000000001,98.0,0.586111111111111,160.0,0.0,1020.5222222222222
2018-03-27,24.549999999999997,17.25,98.0,0.48794326241134756,136.0,0.0,1021.3511904761905
2018-03-28,23.25,16.4,,0.20694444444444446,0.0,0.0,1019.7291666666667
2018-03-29,25.35,18.0,,0.1656250000000001,0.0,0.0,1016.7791666666667
2018-03-30,25.05,17.65,,0.21388888888888896,316.0,0.6,1014.3784722222222
