Date,mucus_unscaled,mucus_monthly,isPartial,scale,mucus
2018-04-07,0,22.0,,0.22,0.0
2018-04-08,0,10.0,False,0.1,0.0
2018-04-09,0,10.0,,0.1,0.0
2018-04-10,29,10.0,,0.1,2.9000000000000004
2018-04-11,0,10.0,,0.1,0.0
2018-04-12,61,10.0,,0.1,6.1000000000000005
2018-04-13,100,10.0,,0.1,10.0
2018-04-14,0,10.0,,0.1,0.0
2018-04-15,34,11.0,False,0.11,3.74
2018-04-16,0,11.0,,0.11,0.0
2018-04-17,0,11.0,,0.11,0.0
2018-04-18,32,11.0,,0.11,3.52
2018-04-19,0,11.0,,0.11,0.0
2018-04-20,0,11.0,,0.11,0.0
2018-04-21,0,11.0,,0.11,0.0
2018-04-22,0,11.0,False,0.11,0.0
2018-04-23,31,11.0,,0.11,3.41
2018-04-24,0,11.0,,0.11,0.0
2018-04-25,34,11.0,,0.11,3.74
2018-04-26,0,11.0,,0.11,0.0
2018-04-27,0,11.0,,0.11,0.0
2018-04-28,0,11.0,,0.11,0.0
2018-04-29,0,86.0,False,0.86,0.0
2018-04-30,58,86.0,,0.86,49.88
2018-05-01,0,86.0,,0.86,0.0
2018-05-02,32,86.0,,0.86,27.52
2018-05-03,0,86.0,,0.86,0.0
2018-05-04,0,86.0,,0.86,0.0
2018-05-05,0,86.0,,0.86,0.0
2018-05-06,0,64.0,False,0.64,0.0
2018-05-07,0,64.0,,0.64,0.0
2018-05-08,0,64.0,,0.64,0.0
2018-05-09,0,64.0,,0.64,0.0
2018-05-10,33,64.0,,0.64,21.12
2018-05-11,36,64.0,,0.64,23.04
2018-05-12,39,64.0,,0.64,24.96
2018-05-13,0,32.0,False,0.32,0.0
2018-05-14,0,32.0,,0.32,0.0
2018-05-15,31,32.0,,0.32,9.92
2018-05-16,0,32.0,,0.32,0.0
2018-05-17,33,32.0,,0.32,10.56
2018-05-18,0,32.0,,0.32,0.0
2018-05-19,40,32.0,,0.32,12.8
2018-05-20,0,21.0,False,0.21,0.0
2018-05-21,32,21.0,,0.21,6.72
2018-05-22,0,21.0,,0.21,0.0
2018-05-23,0,21.0,,0.21,0.0
2018-05-24,0,21.0,,0.21,0.0
2018-05-25,77,21.0,,0.21,16.169999999999998
2018-05-26,42,21.0,,0.21,8.82
2018-05-27,36,44.0,False,0.44,15.84
2018-05-28,0,44.0,,0.44,0.0
2018-05-29,0,44.0,,0.44,0.0
2018-05-30,100,44.0,,0.44,44.0
2018-05-31,0,44.0,,0.44,0.0
2018-06-01,0,44.0,,0.44,0.0
2018-06-02,48,44.0,,0.44,21.12
2018-06-03,0,11.0,False,0.11,0.0
2018-06-04,0,11.0,,0.11,0.0
2018-06-05,35,11.0,,0.11,3.85
2018-06-06,36,11.0,,0.11,3.96
2018-06-07,0,11.0,,0.11,0.0
2018-06-08,0,11.0,,0.11,0.0
2018-06-09,0,11.0,,0.11,0.0
2018-06-10,0,31.0,False,0.31,0.0
2018-06-11,0,31.0,,0.31,0.0
2018-06-12,33,31.0,,0.31,10.23
2018-06-13,34,31.0,,0.31,10.54
2018-06-14,37,31.0,,0.31,11.47
2018-06-15,43,31.0,,0.31,13.33
2018-06-16,0,31.0,,0.31,0.0
2018-06-17,0,11.0,False,0.11,0.0
2018-06-18,0,11.0,,0.11,0.0
2018-06-19,0,11.0,,0.11,0.0
2018-06-20,0,11.0,,0.11,0.0
2018-06-21,0,11.0,,0.11,0.0
2018-06-22,0,11.0,,0.11,0.0
2018-06-23,0,11.0,,0.11,0.0
2018-06-24,0,22.0,False,0.22,0.0
2018-06-25,0,22.0,,0.22,0.0
2018-06-26,36,22.0,,0.22,7.92
2018-06-27,0,22.0,,0.22,0.0
2018-06-28,0,22.0,,0.22,0.0
2018-06-29,46,22.0,,0.22,10.12
2018-06-30,100,22.0,,0.22,22.0
2018-07-01,0,44.0,False,0.44,0.0
2018-07-02,48,44.0,,0.44,21.12
2018-07-03,49,44.0,,0.44,21.56
2018-07-04,0,44.0,,0.44,0.0
2018-07-05,0,44.0,,0.44,0.0
2018-07-06,0,44.0,,0.44,0.0
2018-07-07,0,44.0,,0.44,0.0
2018-07-08,56,57.0,False,0.57,31.919999999999998
2018-07-09,0,57.0,,0.57,0.0
2018-07-10,0,57.0,,0.57,0.0
2018-07-11,50,57.0,,0.57,28.499999999999996
2018-07-12,0,57.0,,0.57,0.0
2018-07-13,0,57.0,,0.57,0.0
2018-07-14,65,57.0,,0.57,37.05
2018-07-15,0,12.0,False,0.12,0.0
2018-07-16,52,12.0,,0.12,6.24
2018-07-17,54,12.0,,0.12,6.4799999999999995
2018-07-18,0,12.0,,0.12,0.0
2018-07-19,0,12.0,,0.12,0.0
2018-07-20,0,12.0,,0.12,0.0
2018-07-21,0,12.0,,0.12,0.0
2018-07-22,56,66.0,False,0.66,36.96
2018-07-23,49,66.0,,0.66,32.34
2018-07-24,100,66.0,,0.66,66.0
2018-07-25,0,66.0,,0.66,0.0
2018-07-26,0,66.0,,0.66,0.0
2018-07-27,0,66.0,,0.66,0.0
2018-07-28,64,66.0,,0.66,42.24
2018-07-29,0,11.0,False,0.11,0.0
2018-07-30,0,11.0,,0.11,0.0
2018-07-31,0,11.0,,0.11,0.0
2018-08-01,0,11.0,,0.11,0.0
2018-08-02,46,11.0,,0.11,5.06
2018-08-03,0,11.0,,0.11,0.0
2018-08-04,33,11.0,,0.11,3.63
2018-08-05,27,11.0,False,0.11,2.97
2018-08-06,23,11.0,,0.11,2.53
2018-08-07,24,11.0,,0.11,2.64
2018-08-08,47,11.0,,0.11,5.17
2018-08-09,0,11.0,,0.11,0.0
2018-08-10,0,11.0,,0.11,0.0
2018-08-11,0,11.0,,0.11,0.0
2018-08-12,0,11.0,False,0.11,0.0
2018-08-13,23,11.0,,0.11,2.53
2018-08-14,24,11.0,,0.11,2.64
2018-08-15,25,11.0,,0.11,2.75
2018-08-16,0,11.0,,0.11,0.0
2018-08-17,0,11.0,,0.11,0.0
2018-08-18,0,11.0,,0.11,0.0
2018-08-19,28,33.0,False,0.33,9.24
2018-08-20,0,33.0,,0.33,0.0
2018-08-21,47,33.0,,0.33,15.510000000000002
2018-08-22,0,33.0,,0.33,0.0
2018-08-23,0,33.0,,0.33,0.0
2018-08-24,29,33.0,,0.33,9.57
2018-08-25,0,33.0,,0.33,0.0
2018-08-26,0,34.0,False,0.34,0.0
2018-08-27,25,34.0,,0.34,8.5
2018-08-28,100,34.0,,0.34,34.0
2018-08-29,24,34.0,,0.34,8.16
2018-08-30,0,34.0,,0.34,0.0
2018-08-31,0,34.0,,0.34,0.0
2018-09-01,0,34.0,,0.34,0.0
2018-09-02,92,45.0,False,0.45,41.4
2018-09-03,82,45.0,,0.45,36.9
2018-09-04,82,45.0,,0.45,36.9
2018-09-05,82,45.0,,0.45,36.9
2018-09-06,81,45.0,,0.45,36.45
2018-09-07,0,45.0,,0.45,0.0
2018-09-08,0,45.0,,0.45,0.0
2018-09-09,95,34.0,False,0.34,32.300000000000004
2018-09-10,0,34.0,,0.34,0.0
2018-09-11,0,34.0,,0.34,0.0
2018-09-12,83,34.0,,0.34,28.220000000000002
2018-09-13,0,34.0,,0.34,0.0
2018-09-14,0,34.0,,0.34,0.0
2018-09-15,0,34.0,,0.34,0.0
2018-09-16,93,22.0,False,0.22,20.46
2018-09-17,0,22.0,,0.22,0.0
2018-09-18,0,22.0,,0.22,0.0
2018-09-19,78,22.0,,0.22,17.16
2018-09-20,0,22.0,,0.22,0.0
2018-09-21,96,22.0,,0.22,21.12
2018-09-22,0,22.0,,0.22,0.0
2018-09-23,0,45.0,False,0.45,0.0
2018-09-24,0,45.0,,0.45,0.0
2018-09-25,81,45.0,,0.45,36.45
2018-09-26,81,45.0,,0.45,36.45
2018-09-27,86,45.0,,0.45,38.7
2018-09-28,0,45.0,,0.45,0.0
2018-09-29,0,45.0,,0.45,0.0
2018-09-30,100,37.0,False,0.37,37.0
2018-10-01,48,37.0,,0.37,17.759999999999998
2018-10-02,49,37.0,,0.37,18.13
2018-10-03,0,37.0,,0.37,0.0
2018-10-04,0,37.0,,0.37,0.0
2018-10-05,0,37.0,,0.37,0.0
2018-10-06,0,37.0,,0.37,0.0
2018-10-07,54,61.0,False,0.61,32.94
2018-10-08,0,61.0,,0.61,0.0
2018-10-09,0,61.0,,0.61,0.0
2018-10-10,48,61.0,,0.61,29.28
2018-10-11,0,61.0,,0.61,0.0
2018-10-12,54,61.0,,0.61,32.94
2018-10-13,62,61.0,,0.61,37.82
2018-10-14,0,59.0,False,0.59,0.0
2018-10-15,0,59.0,,0.59,0.0
2018-10-16,0,59.0,,0.59,0.0
2018-10-17,0,59.0,,0.59,0.0
2018-10-18,47,59.0,,0.59,27.729999999999997
2018-10-19,0,59.0,,0.59,0.0
2018-10-20,64,59.0,,0.59,37.76
2018-10-21,0,46.0,False,0.46,0.0
2018-10-22,50,46.0,,0.46,23.0
2018-10-23,0,46.0,,0.46,0.0
2018-10-24,0,46.0,,0.46,0.0
2018-10-25,0,46.0,,0.46,0.0
2018-10-26,0,46.0,,0.46,0.0
2018-10-27,100,46.0,,0.46,46.0
2018-10-28,48,11.0,False,0.11,5.28
2018-10-29,0,11.0,,0.11,0.0
2018-10-30,0,11.0,,0.11,0.0
2018-10-31,0,11.0,,0.11,0.0
2018-11-01,0,11.0,,0.11,0.0
2018-11-02,0,11.0,,0.11,0.0
2018-11-03,0,11.0,,0.11,0.0
2018-11-04,0,43.0,False,0.43,0.0
2018-11-05,0,43.0,,0.43,0.0
2018-11-06,100,43.0,,0.43,43.0
2018-11-07,47,43.0,,0.43,20.21
2018-11-08,47,43.0,,0.43,20.21
2018-11-09,0,43.0,,0.43,0.0
2018-11-10,0,43.0,,0.43,0.0
2018-11-11,0,12.0,False,0.12,0.0
2018-11-12,0,12.0,,0.12,0.0
2018-11-13,0,12.0,,0.12,0.0
2018-11-14,51,12.0,,0.12,6.12
2018-11-15,0,12.0,,0.12,0.0
2018-11-16,0,12.0,,0.12,0.0
2018-11-17,0,12.0,,0.12,0.0
2018-11-18,55,33.0,False,0.33,18.150000000000002
2018-11-19,0,33.0,,0.33,0.0
2018-11-20,49,33.0,,0.33,16.17
2018-11-21,0,33.0,,0.33,0.0
2018-11-22,0,33.0,,0.33,0.0
2018-11-23,0,33.0,,0.33,0.0
2018-11-24,0,33.0,,0.33,0.0
2018-11-25,0,56.0,False,0.56,0.0
2018-11-26,0,56.0,,0.56,0.0
2018-11-27,49,56.0,,0.56,27.44
2018-11-28,0,56.0,,0.56,0.0
2018-11-29,0,56.0,,0.56,0.0
2018-11-30,59,56.0,,0.56,33.040000000000006
2018-12-01,0,56.0,,0.56,0.0
2018-12-02,0,12.0,False,0.12,0.0
2018-12-03,0,12.0,,0.12,0.0
2018-12-04,0,12.0,,0.12,0.0
2018-12-05,44,12.0,,0.12,5.279999999999999
2018-12-06,0,12.0,,0.12,0.0
2018-12-07,0,12.0,,0.12,0.0
2018-12-08,0,12.0,,0.12,0.0
2018-12-09,0,50.0,False,0.5,0.0
2018-12-10,43,50.0,,0.5,21.5
2018-12-11,0,50.0,,0.5,0.0
2018-12-12,45,50.0,,0.5,22.5
2018-12-13,47,50.0,,0.5,23.5
2018-12-14,100,50.0,,0.5,50.0
2018-12-15,59,50.0,,0.5,29.5
2018-12-16,0,50.0,False,0.5,0.0
2018-12-17,0,50.0,,0.5,0.0
2018-12-18,0,50.0,,0.5,0.0
2018-12-19,0,50.0,,0.5,0.0
2018-12-20,0,50.0,,0.5,0.0
2018-12-21,0,50.0,,0.5,0.0
2018-12-22,59,50.0,,0.5,29.5
2018-12-23,0,15.0,False,0.15,0.0
2018-12-24,0,15.0,,0.15,0.0
2018-12-25,0,15.0,,0.15,0.0
2018-12-26,55,15.0,,0.15,8.25
2018-12-27,0,15.0,,0.15,0.0
2018-12-28,57,15.0,,0.15,8.549999999999999
2018-12-29,0,15.0,,0.15,0.0
2018-12-30,0,15.0,False,0.15,0.0
2018-12-31,62,15.0,,0.15,9.299999999999999
2019-01-01,0,15.0,,0.15,0.0
2019-01-02,0,15.0,,0.15,0.0
2019-01-03,0,15.0,,0.15,0.0
2019-01-04,0,15.0,,0.15,0.0
2019-01-05,0,15.0,,0.15,0.0
2019-01-06,0,13.0,False,0.13,0.0
2019-01-07,0,13.0,,0.13,0.0
2019-01-08,81,13.0,,0.13,10.530000000000001
2019-01-09,0,13.0,,0.13,0.0
2019-01-10,0,13.0,,0.13,0.0
2019-01-11,91,13.0,,0.13,11.83
2019-01-12,0,13.0,,0.13,0.0
2019-01-13,0,84.0,False,0.84,0.0
2019-01-14,75,84.0,,0.84,63.0
2019-01-15,77,84.0,,0.84,64.67999999999999
2019-01-16,0,84.0,,0.84,0.0
2019-01-17,0,84.0,,0.84,0.0
2019-01-18,88,84.0,,0.84,73.92
2019-01-19,0,84.0,,0.84,0.0
2019-01-20,0,12.0,False,0.12,0.0
2019-01-21,0,12.0,,0.12,0.0
2019-01-22,75,12.0,,0.12,9.0
2019-01-23,72,12.0,,0.12,8.64
2019-01-24,0,12.0,,0.12,0.0
2019-01-25,0,12.0,,0.12,0.0
2019-01-26,100,12.0,,0.12,12.0
2019-01-27,0,24.0,False,0.24,0.0
2019-01-28,0,24.0,,0.24,0.0
2019-01-29,0,24.0,,0.24,0.0
2019-01-30,0,24.0,,0.24,0.0
2019-01-31,0,24.0,,0.24,0.0
2019-02-01,0,24.0,,0.24,0.0
2019-02-02,0,24.0,,0.24,0.0
2019-02-03,0,0.0,False,0.0,0.0
2019-02-04,33,0.0,,0.0,0.0
2019-02-05,0,0.0,,0.0,0.0
2019-02-06,36,0.0,,0.0,0.0
2019-02-07,0,0.0,,0.0,0.0
2019-02-08,0,0.0,,0.0,0.0
2019-02-09,0,0.0,,0.0,0.0
2019-02-10,0,34.0,False,0.34,0.0
2019-02-11,33,34.0,,0.34,11.22
2019-02-12,0,34.0,,0.34,0.0
2019-02-13,100,34.0,,0.34,34.0
2019-02-14,0,34.0,,0.34,0.0
2019-02-15,0,34.0,,0.34,0.0
2019-02-16,0,34.0,,0.34,0.0
2019-02-17,0,57.0,False,0.57,0.0
2019-02-18,34,57.0,,0.57,19.38
2019-02-19,0,57.0,,0.57,0.0
2019-02-20,0,57.0,,0.57,0.0
2019-02-21,34,57.0,,0.57,19.38
2019-02-22,0,57.0,,0.57,0.0
2019-02-23,42,57.0,,0.57,23.939999999999998
2019-02-24,0,47.0,False,0.47,0.0
2019-02-25,0,47.0,,0.47,0.0
2019-02-26,0,47.0,,0.47,0.0
2019-02-27,34,47.0,,0.47,15.979999999999999
2019-02-28,0,47.0,,0.47,0.0
2019-03-01,0,47.0,,0.47,0.0
2019-03-02,0,47.0,,0.47,0.0
2019-03-03,0,35.0,False,0.35,0.0
2019-03-04,50,35.0,,0.35,17.5
2019-03-05,51,35.0,,0.35,17.849999999999998
2019-03-06,49,35.0,,0.35,17.15
2019-03-07,0,35.0,,0.35,0.0
2019-03-08,0,35.0,,0.35,0.0
2019-03-09,0,35.0,,0.35,0.0
2019-03-10,0,47.0,False,0.47,0.0
2019-03-11,0,47.0,,0.47,0.0
2019-03-12,50,47.0,,0.47,23.5
2019-03-13,0,47.0,,0.47,0.0
2019-03-14,51,47.0,,0.47,23.97
2019-03-15,0,47.0,,0.47,0.0
2019-03-16,67,47.0,,0.47,31.49
2019-03-17,56,24.0,False,0.24,13.44
2019-03-18,100,24.0,,0.24,24.0
2019-03-19,0,24.0,,0.24,0.0
2019-03-20,51,24.0,,0.24,12.24
2019-03-21,0,24.0,,0.24,0.0
2019-03-22,0,24.0,,0.24,0.0
2019-03-23,0,24.0,,0.24,0.0
2019-03-24,0,81.0,False,0.81,0.0
2019-03-25,0,81.0,,0.81,0.0
2019-03-26,0,81.0,,0.81,0.0
2019-03-27,49,81.0,,0.81,39.690000000000005
2019-03-28,50,81.0,,0.81,40.5
2019-03-29,0,81.0,,0.81,0.0
2019-03-30,0,81.0,,0.81,0.0
2019-03-31,0,23.0,False,0.23,0.0
2019-04-01,80,23.0,,0.23,18.400000000000002
2019-04-02,83,23.0,,0.23,19.09
2019-04-03,0,23.0,,0.23,0.0
2019-04-04,85,23.0,,0.23,19.55
2019-04-05,0,23.0,,0.23,0.0
2019-04-06,0,23.0,,0.23,0.0
2019-04-07,0,0.0,False,0.0,0.0
2019-04-08,0,0.0,,0.0,0.0
2019-04-09,0,0.0,,0.0,0.0
2019-04-10,0,0.0,,0.0,0.0
2019-04-11,0,0.0,,0.0,0.0
2019-04-12,100,0.0,,0.0,0.0
2019-04-13,0,0.0,,0.0,0.0
2019-04-14,0,0.0,False,0.0,0.0
2019-04-15,0,0.0,,0.0,0.0
2019-04-16,0,0.0,,0.0,0.0
2019-04-17,0,0.0,,0.0,0.0
2019-04-18,0,0.0,,0.0,0.0
2019-04-19,0,0.0,,0.0,0.0
2019-04-20,0,0.0,,0.0,0.0
2019-04-21,0,76.0,False,0.76,0.0
2019-04-22,98,76.0,,0.76,74.48
2019-04-23,93,76.0,,0.76,70.68
2019-04-24,0,76.0,,0.76,0.0
2019-04-25,0,76.0,,0.76,0.0
2019-04-26,0,76.0,,0.76,0.0
2019-04-27,97,76.0,,0.76,73.72
2019-04-28,85,11.0,False,0.11,9.35
2019-04-29,0,11.0,,0.11,0.0
2019-04-30,0,11.0,,0.11,0.0
2019-05-01,0,11.0,,0.11,0.0
2019-05-02,0,11.0,,0.11,0.0
2019-05-03,0,11.0,,0.11,0.0
2019-05-04,63,11.0,,0.11,6.93
2019-05-05,52,23.0,False,0.23,11.96
2019-05-06,46,23.0,,0.23,10.58
2019-05-07,0,23.0,,0.23,0.0
2019-05-08,0,23.0,,0.23,0.0
2019-05-09,0,23.0,,0.23,0.0
2019-05-10,54,23.0,,0.23,12.42
2019-05-11,0,23.0,,0.23,0.0
2019-05-12,0,11.0,False,0.11,0.0
2019-05-13,0,11.0,,0.11,0.0
2019-05-14,0,11.0,,0.11,0.0
2019-05-15,47,11.0,,0.11,5.17
2019-05-16,0,11.0,,0.11,0.0
2019-05-17,0,11.0,,0.11,0.0
2019-05-18,0,11.0,,0.11,0.0
2019-05-19,0,0.0,False,0.0,0.0
2019-05-20,0,0.0,,0.0,0.0
2019-05-21,45,0.0,,0.0,0.0
2019-05-22,45,0.0,,0.0,0.0
2019-05-23,0,0.0,,0.0,0.0
2019-05-24,0,0.0,,0.0,0.0
2019-05-25,0,0.0,,0.0,0.0
2019-05-26,53,22.0,False,0.22,11.66
2019-05-27,0,22.0,,0.22,0.0
2019-05-28,0,22.0,,0.22,0.0
2019-05-29,0,22.0,,0.22,0.0
2019-05-30,0,22.0,,0.22,0.0
2019-05-31,100,22.0,,0.22,22.0
2019-06-01,37,22.0,,0.22,8.14
2019-06-02,37,54.0,False,0.54,19.98
2019-06-03,0,54.0,,0.54,0.0
2019-06-04,0,54.0,,0.54,0.0
2019-06-05,0,54.0,,0.54,0.0
2019-06-06,29,54.0,,0.54,15.66
2019-06-07,34,54.0,,0.54,18.36
2019-06-08,0,54.0,,0.54,0.0
2019-06-09,33,53.0,False,0.53,17.490000000000002
2019-06-10,0,53.0,,0.53,0.0
2019-06-11,0,53.0,,0.53,0.0
2019-06-12,29,53.0,,0.53,15.370000000000001
2019-06-13,0,53.0,,0.53,0.0
2019-06-14,100,53.0,,0.53,53.0
2019-06-15,38,53.0,,0.53,20.14
2019-06-16,0,43.0,False,0.43,0.0
2019-06-17,0,43.0,,0.43,0.0
2019-06-18,0,43.0,,0.43,0.0
2019-06-19,30,43.0,,0.43,12.9
2019-06-20,0,43.0,,0.43,0.0
2019-06-21,33,43.0,,0.43,14.19
2019-06-22,0,43.0,,0.43,0.0
2019-06-23,0,44.0,False,0.44,0.0
2019-06-24,29,44.0,,0.44,12.76
2019-06-25,58,44.0,,0.44,25.52
2019-06-26,0,44.0,,0.44,0.0
2019-06-27,31,44.0,,0.44,13.64
2019-06-28,0,44.0,,0.44,0.0
2019-06-29,82,44.0,,0.44,36.08
2019-06-30,69,100.0,False,1.0,69.0
2019-07-01,0,100.0,,1.0,0.0
2019-07-02,41,100.0,,1.0,41.0
2019-07-03,39,100.0,,1.0,39.0
2019-07-04,0,100.0,,1.0,0.0
2019-07-05,0,100.0,,1.0,0.0
2019-07-06,58,100.0,,1.0,58.0
2019-07-07,50,81.0,False,0.81,40.5
2019-07-08,89,81.0,,0.81,72.09
2019-07-09,0,81.0,,0.81,0.0
2019-07-10,0,81.0,,0.81,0.0
2019-07-11,91,81.0,,0.81,73.71000000000001
2019-07-12,0,81.0,,0.81,0.0
2019-07-13,0,81.0,,0.81,0.0
2019-07-14,0,58.0,False,0.58,0.0
2019-07-15,44,58.0,,0.58,25.52
2019-07-16,43,58.0,,0.58,24.939999999999998
2019-07-17,0,58.0,,0.58,0.0
2019-07-18,0,58.0,,0.58,0.0
2019-07-19,50,58.0,,0.58,28.999999999999996
2019-07-20,0,58.0,,0.58,0.0
2019-07-21,49,23.0,False,0.23,11.270000000000001
2019-07-22,0,23.0,,0.23,0.0
2019-07-23,0,23.0,,0.23,0.0
2019-07-24,0,23.0,,0.23,0.0
2019-07-25,0,23.0,,0.23,0.0
2019-07-26,100,23.0,,0.23,23.0
2019-07-27,0,23.0,,0.23,0.0
2019-07-28,48,33.0,False,0.33,15.84
2019-07-29,0,33.0,,0.33,0.0
2019-07-30,0,33.0,,0.33,0.0
2019-07-31,0,33.0,,0.33,0.0
2019-08-01,44,33.0,,0.33,14.520000000000001
2019-08-02,100,33.0,,0.33,33.0
2019-08-03,0,33.0,,0.33,0.0
2019-08-04,0,11.0,False,0.11,0.0
2019-08-05,0,11.0,,0.11,0.0
2019-08-06,87,11.0,,0.11,9.57
2019-08-07,44,11.0,,0.11,4.84
2019-08-08,0,11.0,,0.11,0.0
2019-08-09,49,11.0,,0.11,5.39
2019-08-10,0,11.0,,0.11,0.0
2019-08-11,0,52.0,False,0.52,0.0
2019-08-12,0,52.0,,0.52,0.0
2019-08-13,0,52.0,,0.52,0.0
2019-08-14,0,52.0,,0.52,0.0
2019-08-15,38,52.0,,0.52,19.76
2019-08-16,0,52.0,,0.52,0.0
2019-08-17,94,52.0,,0.52,48.88
2019-08-18,0,30.0,False,0.3,0.0
2019-08-19,38,30.0,,0.3,11.4
2019-08-20,0,30.0,,0.3,0.0
2019-08-21,0,30.0,,0.3,0.0
2019-08-22,0,30.0,,0.3,0.0
2019-08-23,0,30.0,,0.3,0.0
2019-08-24,52,30.0,,0.3,15.6
2019-08-25,44,21.0,False,0.21,9.24
2019-08-26,0,21.0,,0.21,0.0
2019-08-27,40,21.0,,0.21,8.4
2019-08-28,0,21.0,,0.21,0.0
2019-08-29,40,21.0,,0.21,8.4
2019-08-30,0,21.0,,0.21,0.0
2019-08-31,0,21.0,,0.21,0.0
2019-09-01,0,30.0,False,0.3,0.0
2019-09-02,0,30.0,,0.3,0.0
2019-09-03,0,30.0,,0.3,0.0
2019-09-04,0,30.0,,0.3,0.0
2019-09-05,0,30.0,,0.3,0.0
2019-09-06,0,30.0,,0.3,0.0
2019-09-07,100,30.0,,0.3,30.0
2019-09-08,43,30.0,False,0.3,12.9
2019-09-09,0,30.0,,0.3,0.0
2019-09-10,38,30.0,,0.3,11.4
2019-09-11,0,30.0,,0.3,0.0
2019-09-12,0,30.0,,0.3,0.0
2019-09-13,0,30.0,,0.3,0.0
2019-09-14,0,30.0,,0.3,0.0
2019-09-15,0,58.0,False,0.58,0.0
2019-09-16,0,58.0,,0.58,0.0
2019-09-17,37,58.0,,0.58,21.459999999999997
